Denali Borough, Alaska, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.60
201002,0.62
201003,0.72
201004,0.71
201005,0.62
201006,3.98
201007,4.19
201008,3.10
201009,1.25
201010,1.05
201011,2.79
201012,1.06
201101,0.68
201102,2.06
201103,0.15
201104,0.94
201105,0.52
201106,2.08
201107,3.14
201108,4.79
201109,1.25
201110,1.18
201111,1.26
201112,3.04
201201,1.44
201202,1.22
201203,0.66
201204,0.32
201205,0.99
201206,4.60
201207,2.95
201208,3.25
201209,4.44
201210,2.07
201211,1.00
201212,2.35
201301,2.04
201302,1.08
201303,1.22
201304,0.95
201305,0.97
201306,0.86
201307,2.56
201308,4.56
201309,3.96
201310,4.31
201311,2.90
201312,0.83
201401,1.95
201402,0.47
201403,0.70
201404,0.31
201405,0.63
201406,5.93
201407,5.52
201408,3.34
201409,3.21
201410,0.86
201411,0.36
201412,1.63
201501,0.77
201502,0.63
201503,0.80
201504,0.96
201505,1.02
201506,2.95
201507,5.14
201508,4.73
201509,6.01
201510,1.75
201511,3.70
201512,0.35
201601,0.27
201602,0.25
201603,1.66
201604,0.35
201605,1.82
201606,4.02
201607,7.01
201608,3.24
201609,3.73
201610,0.45
201611,0.44
201612,1.14
