Haines Borough, Alaska, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,9.17
201002,4.77
201003,17.08
201004,3.05
201005,1.42
201006,6.27
201007,3.51
201008,3.68
201009,9.33
201010,15.72
201011,12.90
201012,4.51
201101,6.39
201102,7.82
201103,1.30
201104,2.07
201105,2.83
201106,1.20
201107,2.58
201108,12.02
201109,18.78
201110,10.55
201111,9.31
201112,13.49
201201,11.91
201202,7.00
201203,4.19
201204,1.44
201205,5.89
201206,5.02
201207,4.26
201208,7.14
201209,14.76
201210,5.16
201211,5.72
201212,5.84
201301,7.72
201302,8.14
201303,3.61
201304,7.62
201305,5.64
201306,3.72
201307,3.47
201308,3.77
201309,10.90
201310,11.69
201311,7.96
201312,10.98
201401,11.06
201402,3.19
201403,4.24
201404,3.94
201405,2.58
201406,6.29
201407,11.45
201408,9.61
201409,13.62
201410,14.82
201411,5.23
201412,7.33
201501,18.64
201502,4.50
201503,6.15
201504,7.68
201505,0.66
201506,4.73
201507,7.88
201508,9.83
201509,10.97
201510,13.51
201511,16.34
201512,5.11
201601,12.53
201602,9.63
201603,3.17
201604,5.67
201605,7.02
201606,3.41
201607,3.95
201608,4.67
201609,12.33
201610,3.95
201611,15.62
201612,9.82
