Kodiak Island Borough, Alaska, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.84
201002,5.23
201003,3.07
201004,3.90
201005,3.48
201006,2.31
201007,3.32
201008,3.67
201009,2.84
201010,7.26
201011,3.50
201012,3.27
201101,6.59
201102,2.87
201103,2.01
201104,4.58
201105,5.23
201106,3.51
201107,1.64
201108,5.97
201109,11.39
201110,6.33
201111,5.98
201112,6.57
201201,4.08
201202,5.59
201203,3.29
201204,2.47
201205,4.66
201206,1.98
201207,3.76
201208,2.85
201209,9.95
201210,4.55
201211,5.02
201212,5.90
201301,8.09
201302,6.03
201303,4.08
201304,1.78
201305,1.79
201306,2.51
201307,1.52
201308,7.44
201309,7.12
201310,11.09
201311,5.44
201312,4.35
201401,11.06
201402,4.16
201403,3.79
201404,4.47
201405,2.74
201406,4.65
201407,2.20
201408,5.65
201409,6.56
201410,4.20
201411,12.10
201412,11.32
201501,6.67
201502,5.09
201503,5.62
201504,6.72
201505,5.75
201506,2.28
201507,2.82
201508,1.87
201509,4.69
201510,10.62
201511,10.29
201512,7.93
201601,7.91
201602,9.55
201603,6.38
201604,6.35
201605,3.87
201606,3.19
201607,2.51
201608,3.89
201609,5.87
201610,9.10
201611,8.38
201612,3.88
