Coffee County, Alabama, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,7.06
201002,3.59
201003,3.46
201004,1.88
201005,4.71
201006,3.84
201007,2.78
201008,6.30
201009,2.41
201010,1.38
201011,3.71
201012,2.03
201101,4.33
201102,3.68
201103,5.74
201104,1.47
201105,0.99
201106,4.13
201107,6.84
201108,1.80
201109,5.11
201110,0.51
201111,2.42
201112,4.79
201201,4.10
201202,4.65
201203,3.94
201204,2.58
201205,4.19
201206,5.54
201207,5.49
201208,7.57
201209,7.54
201210,2.06
201211,1.48
201212,5.38
201301,2.96
201302,12.94
201303,2.34
201304,4.22
201305,2.08
201306,8.73
201307,12.55
201308,8.66
201309,4.17
201310,0.61
201311,2.51
201312,6.82
201401,2.62
201402,5.56
201403,6.66
201404,12.93
201405,5.31
201406,4.20
201407,5.33
201408,2.50
201409,3.46
201410,3.70
201411,2.16
201412,5.19
201501,3.35
201502,4.29
201503,2.59
201504,7.85
201505,4.73
201506,2.91
201507,4.46
201508,4.39
201509,6.17
201510,2.23
201511,8.85
201512,15.31
201601,5.02
201602,4.00
201603,5.06
201604,6.90
201605,2.50
201606,3.36
201607,4.19
201608,5.65
201609,2.11
201610,0.01
201611,0.55
201612,8.98
