Franklin County, Alabama, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.14
201002,3.63
201003,4.22
201004,2.98
201005,6.98
201006,2.89
201007,3.83
201008,3.70
201009,1.71
201010,2.72
201011,5.90
201012,2.07
201101,5.23
201102,2.48
201103,8.94
201104,10.80
201105,2.91
201106,4.33
201107,1.45
201108,5.90
201109,7.82
201110,1.21
201111,4.67
201112,6.95
201201,6.24
201202,2.77
201203,4.52
201204,1.87
201205,3.40
201206,3.03
201207,5.71
201208,3.52
201209,6.92
201210,4.45
201211,1.37
201212,6.20
201301,8.00
201302,3.56
201303,6.13
201304,6.11
201305,4.95
201306,4.18
201307,8.18
201308,3.45
201309,4.10
201310,1.93
201311,3.88
201312,6.13
201401,2.33
201402,5.48
201403,2.87
201404,7.49
201405,3.28
201406,6.93
201407,5.46
201408,3.95
201409,2.07
201410,9.98
201411,4.29
201412,6.56
201501,4.09
201502,4.98
201503,6.93
201504,6.40
201505,7.20
201506,1.47
201507,7.47
201508,6.41
201509,1.45
201510,3.08
201511,5.93
201512,12.08
201601,4.32
201602,5.60
201603,6.37
201604,4.81
201605,1.32
201606,3.60
201607,4.96
201608,4.98
201609,0.84
201610,0.26
201611,3.91
201612,5.11
