Houston County, Alabama, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,8.54
201002,4.32
201003,2.99
201004,2.93
201005,5.85
201006,3.96
201007,3.01
201008,3.11
201009,2.11
201010,1.08
201011,3.02
201012,1.80
201101,4.44
201102,4.12
201103,4.49
201104,2.20
201105,0.63
201106,2.76
201107,8.33
201108,1.81
201109,2.46
201110,1.06
201111,2.24
201112,4.25
201201,3.82
201202,4.34
201203,5.08
201204,2.71
201205,2.70
201206,5.61
201207,3.70
201208,8.28
201209,5.71
201210,1.75
201211,1.15
201212,4.04
201301,1.71
201302,15.44
201303,3.03
201304,4.26
201305,1.13
201306,6.44
201307,14.66
201308,10.49
201309,3.94
201310,0.79
201311,2.90
201312,7.13
201401,2.58
201402,5.55
201403,6.72
201404,13.05
201405,3.20
201406,3.20
201407,3.58
201408,4.20
201409,3.54
201410,3.72
201411,4.22
201412,5.96
201501,3.36
201502,4.22
201503,2.29
201504,7.73
201505,5.11
201506,4.77
201507,5.12
201508,5.09
201509,6.45
201510,1.48
201511,8.33
201512,10.45
201601,5.62
201602,5.17
201603,6.31
201604,6.50
201605,2.55
201606,3.48
201607,3.70
201608,6.95
201609,3.86
201610,0.12
201611,0.45
201612,10.44
