Pike County, Alabama, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,7.43
201002,3.62
201003,4.91
201004,1.61
201005,4.73
201006,4.40
201007,2.08
201008,6.20
201009,2.97
201010,1.64
201011,4.45
201012,2.23
201101,3.90
201102,4.35
201103,6.00
201104,1.65
201105,0.99
201106,2.62
201107,5.55
201108,1.36
201109,4.28
201110,0.96
201111,3.42
201112,5.45
201201,4.06
201202,5.08
201203,4.74
201204,1.79
201205,4.27
201206,3.98
201207,5.65
201208,4.18
201209,5.99
201210,2.03
201211,1.39
201212,6.19
201301,2.64
201302,10.89
201303,2.76
201304,3.52
201305,2.10
201306,6.21
201307,12.03
201308,4.68
201309,2.54
201310,0.61
201311,2.39
201312,6.90
201401,3.17
201402,5.66
201403,5.80
201404,9.99
201405,5.48
201406,4.85
201407,4.69
201408,2.54
201409,2.52
201410,3.31
201411,2.27
201412,5.11
201501,3.30
201502,4.37
201503,2.81
201504,7.60
201505,4.02
201506,3.31
201507,3.66
201508,3.58
201509,3.90
201510,2.26
201511,9.11
201512,18.44
201601,4.82
201602,3.37
201603,5.70
201604,6.29
201605,1.69
201606,3.88
201607,4.33
201608,4.39
201609,1.74
201610,0.07
201611,1.13
201612,5.97
