Lee County, Arkansas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.92
201002,3.55
201003,2.96
201004,3.12
201005,7.00
201006,1.42
201007,3.02
201008,1.20
201009,0.81
201010,1.78
201011,7.23
201012,1.07
201101,2.84
201102,3.54
201103,4.04
201104,14.31
201105,6.87
201106,2.61
201107,2.24
201108,3.40
201109,2.22
201110,2.82
201111,6.95
201112,8.80
201201,2.06
201202,3.43
201203,5.28
201204,1.58
201205,2.04
201206,2.04
201207,1.72
201208,1.69
201209,5.03
201210,4.69
201211,2.88
201212,4.29
201301,7.78
201302,4.51
201303,4.11
201304,5.89
201305,8.63
201306,1.79
201307,3.44
201308,2.10
201309,4.08
201310,2.93
201311,4.09
201312,5.48
201401,2.37
201402,4.55
201403,4.93
201404,6.29
201405,6.26
201406,9.69
201407,2.47
201408,3.41
201409,3.06
201410,4.80
201411,3.39
201412,2.78
201501,2.00
201502,4.26
201503,7.68
201504,5.35
201505,6.78
201506,2.68
201507,4.22
201508,2.61
201509,0.69
201510,2.86
201511,9.42
201512,5.17
201601,1.92
201602,3.86
201603,14.94
201604,6.63
201605,3.93
201606,2.12
201607,4.74
201608,4.03
201609,1.00
201610,1.53
201611,3.55
201612,5.78
