White County, Arkansas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.40
201002,3.52
201003,2.90
201004,3.09
201005,9.15
201006,1.57
201007,3.65
201008,2.17
201009,1.84
201010,0.67
201011,5.50
201012,2.49
201101,1.07
201102,5.14
201103,3.90
201104,8.54
201105,10.77
201106,2.14
201107,2.10
201108,5.08
201109,2.07
201110,3.07
201111,10.02
201112,7.60
201201,2.47
201202,3.87
201203,6.44
201204,1.42
201205,2.37
201206,1.68
201207,1.07
201208,4.89
201209,6.69
201210,3.22
201211,1.70
201212,4.54
201301,5.83
201302,4.69
201303,2.88
201304,4.63
201305,7.06
201306,3.17
201307,2.87
201308,4.44
201309,2.74
201310,4.01
201311,3.49
201312,7.48
201401,2.45
201402,2.50
201403,4.67
201404,5.65
201405,6.57
201406,9.80
201407,3.57
201408,1.56
201409,0.91
201410,4.24
201411,2.52
201412,2.69
201501,3.13
201502,3.15
201503,8.02
201504,5.93
201505,9.87
201506,2.84
201507,3.63
201508,3.05
201509,2.79
201510,3.27
201511,11.76
201512,8.72
201601,2.17
201602,1.60
201603,10.33
201604,5.90
201605,4.29
201606,1.30
201607,3.74
201608,7.42
201609,1.67
201610,1.52
201611,3.42
201612,3.39
