Cochise County, Arizona, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.89
201002,1.80
201003,0.68
201004,0.31
201005,0.02
201006,0.08
201007,4.37
201008,3.74
201009,1.25
201010,0.53
201011,0.01
201012,0.57
201101,0.02
201102,0.21
201103,0.03
201104,0.05
201105,0.00
201106,0.08
201107,3.53
201108,2.66
201109,2.06
201110,0.26
201111,0.92
201112,1.72
201201,0.19
201202,0.42
201203,0.35
201204,0.06
201205,0.34
201206,0.16
201207,3.69
201208,2.44
201209,1.73
201210,0.01
201211,0.22
201212,1.08
201301,0.66
201302,0.46
201303,0.32
201304,0.04
201305,0.01
201306,0.18
201307,4.51
201308,3.13
201309,1.92
201310,0.00
201311,0.84
201312,0.52
201401,0.01
201402,0.05
201403,0.96
201404,0.23
201405,0.00
201406,0.06
201407,3.80
201408,4.85
201409,4.20
201410,1.32
201411,0.20
201412,1.08
201501,2.28
201502,0.33
201503,1.23
201504,0.40
201505,0.10
201506,0.86
201507,3.69
201508,2.82
201509,2.17
201510,1.37
201511,0.72
201512,0.51
201601,1.43
201602,0.23
201603,0.14
201604,0.29
201605,0.04
201606,1.17
201607,3.48
201608,3.48
201609,3.13
201610,0.16
201611,0.44
201612,1.76
