Pima County, Arizona, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.29
201002,1.45
201003,0.85
201004,0.44
201005,0.00
201006,0.01
201007,2.06
201008,2.00
201009,0.44
201010,0.83
201011,0.01
201012,0.74
201101,0.01
201102,0.66
201103,0.20
201104,0.42
201105,0.00
201106,0.01
201107,2.29
201108,1.56
201109,1.48
201110,0.17
201111,1.13
201112,2.05
201201,0.10
201202,0.32
201203,0.48
201204,0.08
201205,0.11
201206,0.26
201207,2.80
201208,1.94
201209,2.08
201210,0.01
201211,0.19
201212,1.21
201301,0.78
201302,0.90
201303,0.20
201304,0.03
201305,0.00
201306,0.06
201307,2.56
201308,2.73
201309,1.51
201310,0.03
201311,2.40
201312,0.60
201401,0.00
201402,0.05
201403,0.74
201404,0.10
201405,0.00
201406,0.00
201407,2.64
201408,3.32
201409,2.30
201410,1.28
201411,0.06
201412,1.52
201501,2.28
201502,0.38
201503,0.69
201504,0.21
201505,0.32
201506,0.67
201507,1.91
201508,1.81
201509,2.42
201510,1.69
201511,0.31
201512,0.63
201601,1.47
201602,0.20
201603,0.12
201604,0.66
201605,0.03
201606,0.58
201607,1.62
201608,2.37
201609,1.65
201610,0.18
201611,0.45
201612,1.49
