Mono County, California, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.19
201002,2.63
201003,1.13
201004,2.29
201005,0.48
201006,0.01
201007,0.55
201008,0.04
201009,0.00
201010,3.38
201011,1.95
201012,6.89
201101,0.75
201102,2.46
201103,4.71
201104,0.86
201105,0.78
201106,1.25
201107,0.52
201108,0.18
201109,0.86
201110,1.17
201111,0.37
201112,0.01
201201,2.11
201202,0.46
201203,1.65
201204,0.83
201205,0.11
201206,0.21
201207,0.29
201208,0.92
201209,0.16
201210,0.74
201211,1.42
201212,5.28
201301,0.39
201302,0.17
201303,0.58
201304,0.50
201305,0.82
201306,0.08
201307,0.89
201308,0.48
201309,0.56
201310,0.57
201311,0.32
201312,0.72
201401,1.08
201402,2.20
201403,1.23
201404,0.50
201405,0.86
201406,0.04
201407,1.00
201408,0.94
201409,0.59
201410,0.06
201411,0.60
201412,1.58
201501,0.18
201502,1.50
201503,0.28
201504,0.77
201505,2.97
201506,0.88
201507,1.66
201508,0.24
201509,0.29
201510,1.43
201511,1.85
201512,2.03
201601,2.71
201602,1.01
201603,1.88
201604,1.98
201605,1.25
201606,0.60
201607,0.21
201608,0.05
201609,0.28
201610,2.53
201611,0.46
201612,2.26
