Fremont County, Colorado, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.28
201002,0.93
201003,1.74
201004,0.97
201005,0.53
201006,0.72
201007,2.13
201008,2.54
201009,0.32
201010,0.56
201011,0.17
201012,0.37
201101,0.46
201102,0.81
201103,0.38
201104,0.83
201105,1.28
201106,0.19
201107,1.61
201108,1.49
201109,1.74
201110,1.42
201111,0.53
201112,0.77
201201,0.18
201202,0.61
201203,0.17
201204,0.97
201205,1.35
201206,0.30
201207,2.72
201208,0.86
201209,1.47
201210,0.41
201211,0.13
201212,0.64
201301,0.23
201302,0.86
201303,0.46
201304,0.89
201305,1.54
201306,0.48
201307,2.51
201308,2.10
201309,4.61
201310,0.48
201311,0.88
201312,0.47
201401,0.63
201402,0.52
201403,1.10
201404,1.18
201405,2.08
201406,0.47
201407,2.91
201408,1.57
201409,1.18
201410,1.07
201411,0.47
201412,0.61
201501,0.61
201502,1.58
201503,0.90
201504,1.76
201505,5.16
201506,1.61
201507,3.01
201508,1.72
201509,0.49
201510,1.00
201511,0.67
201512,0.57
201601,0.39
201602,0.68
201603,0.52
201604,2.69
201605,1.24
201606,1.72
201607,0.98
201608,2.88
201609,0.38
201610,0.24
201611,0.36
201612,0.80
