Yuma County, Colorado, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.04
201002,0.29
201003,1.35
201004,2.10
201005,1.44
201006,2.65
201007,2.51
201008,3.60
201009,0.59
201010,0.46
201011,0.21
201012,0.39
201101,0.46
201102,0.57
201103,0.76
201104,2.10
201105,6.16
201106,1.78
201107,3.19
201108,1.69
201109,1.18
201110,1.05
201111,0.44
201112,0.33
201201,0.05
201202,0.98
201203,0.35
201204,2.19
201205,1.04
201206,0.68
201207,2.93
201208,0.48
201209,0.86
201210,0.53
201211,0.01
201212,0.53
201301,0.12
201302,0.54
201303,1.54
201304,1.01
201305,1.58
201306,1.38
201307,2.23
201308,2.00
201309,2.70
201310,0.86
201311,0.34
201312,0.15
201401,0.66
201402,0.58
201403,0.33
201404,0.92
201405,2.65
201406,5.04
201407,2.97
201408,4.35
201409,1.60
201410,0.30
201411,0.11
201412,1.01
201501,0.10
201502,0.43
201503,0.21
201504,2.47
201505,6.88
201506,2.73
201507,2.26
201508,0.97
201509,0.78
201510,1.74
201511,1.38
201512,0.50
201601,0.08
201602,1.11
201603,0.97
201604,4.10
201605,2.35
201606,2.71
201607,2.96
201608,1.45
201609,0.90
201610,0.27
201611,0.32
201612,0.28
