Broward County, Florida, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.37
201002,3.48
201003,4.56
201004,6.94
201005,2.76
201006,5.15
201007,7.44
201008,9.01
201009,10.44
201010,1.24
201011,1.74
201012,1.01
201101,1.67
201102,0.14
201103,2.04
201104,2.28
201105,2.00
201106,3.99
201107,6.71
201108,8.83
201109,6.71
201110,12.97
201111,1.64
201112,1.33
201201,0.13
201202,2.99
201203,2.24
201204,6.80
201205,9.14
201206,8.79
201207,7.20
201208,13.56
201209,8.11
201210,6.92
201211,0.55
201212,1.08
201301,0.85
201302,2.21
201303,0.46
201304,5.61
201305,9.75
201306,8.39
201307,14.10
201308,4.31
201309,6.89
201310,3.02
201311,6.25
201312,2.19
201401,3.41
201402,1.67
201403,1.94
201404,3.58
201405,3.71
201406,8.98
201407,10.51
201408,8.16
201409,9.10
201410,2.87
201411,2.34
201412,1.87
201501,1.86
201502,2.01
201503,1.37
201504,4.74
201505,2.10
201506,3.61
201507,4.35
201508,7.31
201509,10.32
201510,3.24
201511,4.53
201512,7.10
201601,7.05
201602,2.86
201603,1.99
201604,0.72
201605,6.23
201606,6.70
201607,4.68
201608,8.70
201609,5.15
201610,5.08
201611,0.73
201612,2.88
