Sarasota County, Florida, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.75
201002,2.44
201003,7.44
201004,2.77
201005,1.89
201006,6.83
201007,7.17
201008,12.03
201009,5.01
201010,0.01
201011,1.87
201012,0.89
201101,2.87
201102,0.48
201103,6.19
201104,1.64
201105,2.78
201106,2.51
201107,8.47
201108,8.55
201109,5.31
201110,3.77
201111,1.27
201112,0.14
201201,0.74
201202,1.04
201203,1.22
201204,2.14
201205,2.87
201206,16.23
201207,6.42
201208,11.07
201209,5.71
201210,3.54
201211,0.26
201212,2.00
201301,0.42
201302,1.28
201303,1.81
201304,4.34
201305,3.88
201306,11.14
201307,10.35
201308,9.76
201309,11.78
201310,1.93
201311,1.85
201312,0.37
201401,3.10
201402,1.60
201403,5.48
201404,1.63
201405,7.05
201406,5.52
201407,5.90
201408,6.04
201409,13.04
201410,2.98
201411,4.40
201412,0.32
201501,1.60
201502,4.43
201503,1.74
201504,2.01
201505,4.30
201506,5.31
201507,11.01
201508,8.83
201509,7.75
201510,3.03
201511,1.88
201512,2.76
201601,7.33
201602,2.64
201603,1.72
201604,1.49
201605,5.95
201606,8.46
201607,6.08
201608,12.66
201609,7.16
201610,3.36
201611,0.05
201612,0.57
