Jasper County, Georgia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.45
201002,3.33
201003,4.70
201004,2.06
201005,6.59
201006,3.98
201007,3.28
201008,6.08
201009,3.94
201010,2.94
201011,3.41
201012,2.43
201101,2.95
201102,4.00
201103,5.69
201104,3.85
201105,0.44
201106,2.16
201107,3.38
201108,1.97
201109,3.93
201110,2.94
201111,2.79
201112,4.03
201201,2.88
201202,3.36
201203,3.69
201204,0.70
201205,2.18
201206,2.66
201207,4.08
201208,6.72
201209,2.54
201210,1.70
201211,1.65
201212,6.41
201301,2.80
201302,7.33
201303,3.83
201304,4.42
201305,3.60
201306,6.58
201307,7.43
201308,7.33
201309,1.42
201310,0.70
201311,2.47
201312,9.42
201401,2.94
201402,4.11
201403,4.15
201404,5.61
201405,4.64
201406,3.79
201407,4.50
201408,3.00
201409,2.54
201410,2.88
201411,3.19
201412,4.59
201501,2.63
201502,4.90
201503,3.55
201504,7.26
201505,3.46
201506,2.85
201507,3.01
201508,6.03
201509,6.11
201510,4.15
201511,4.43
201512,11.92
201601,3.14
201602,4.33
201603,2.59
201604,4.31
201605,3.11
201606,2.22
201607,0.90
201608,1.71
201609,4.82
201610,0.02
201611,1.75
201612,4.73
