Marion County, Georgia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,7.43
201002,3.56
201003,3.71
201004,1.74
201005,6.23
201006,3.57
201007,2.37
201008,3.12
201009,3.97
201010,0.87
201011,1.94
201012,2.48
201101,3.14
201102,5.00
201103,5.06
201104,1.87
201105,0.43
201106,3.22
201107,4.72
201108,2.36
201109,3.00
201110,1.92
201111,2.76
201112,4.81
201201,3.44
201202,3.36
201203,2.96
201204,1.56
201205,2.02
201206,3.36
201207,4.75
201208,4.22
201209,2.82
201210,2.22
201211,1.11
201212,5.77
201301,2.50
201302,12.88
201303,3.21
201304,4.47
201305,3.17
201306,7.01
201307,8.11
201308,7.96
201309,1.88
201310,0.29
201311,2.34
201312,8.39
201401,2.83
201402,5.36
201403,4.52
201404,9.83
201405,2.50
201406,2.64
201407,5.27
201408,1.85
201409,3.70
201410,3.95
201411,3.07
201412,4.81
201501,2.68
201502,4.94
201503,2.05
201504,7.04
201505,3.16
201506,4.97
201507,4.33
201508,7.43
201509,4.31
201510,1.33
201511,6.07
201512,15.75
201601,3.66
201602,3.82
201603,2.81
201604,5.48
201605,1.68
201606,2.89
201607,1.79
201608,5.25
201609,1.47
201610,0.15
201611,1.15
201612,7.07
