Wilkes County, Georgia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.03
201002,3.46
201003,3.63
201004,1.71
201005,3.02
201006,3.41
201007,2.14
201008,5.12
201009,4.92
201010,2.86
201011,1.69
201012,2.17
201101,2.94
201102,3.50
201103,7.20
201104,2.66
201105,1.11
201106,2.87
201107,1.77
201108,2.66
201109,3.29
201110,3.14
201111,2.91
201112,3.11
201201,2.71
201202,2.53
201203,2.71
201204,2.24
201205,2.14
201206,3.41
201207,5.19
201208,5.17
201209,2.07
201210,1.20
201211,1.33
201212,5.12
201301,3.06
201302,6.06
201303,3.74
201304,4.62
201305,4.10
201306,7.09
201307,8.62
201308,6.92
201309,1.28
201310,0.32
201311,2.81
201312,10.15
201401,3.44
201402,3.27
201403,4.70
201404,3.79
201405,3.05
201406,2.66
201407,2.31
201408,2.50
201409,4.01
201410,2.27
201411,3.46
201412,5.07
201501,2.55
201502,4.22
201503,3.65
201504,5.44
201505,1.23
201506,3.52
201507,4.48
201508,6.09
201509,3.48
201510,5.79
201511,7.17
201512,11.71
201601,3.42
201602,3.29
201603,1.95
201604,2.69
201605,2.27
201606,3.06
201607,2.76
201608,4.26
201609,1.51
201610,0.16
201611,1.40
201612,3.82
