Clinton County, Iowa, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.82
201002,0.71
201003,1.53
201004,3.71
201005,4.79
201006,8.91
201007,5.67
201008,4.94
201009,3.56
201010,2.31
201011,1.58
201012,2.05
201101,0.68
201102,2.37
201103,2.18
201104,4.01
201105,4.03
201106,4.42
201107,5.43
201108,3.20
201109,3.17
201110,0.99
201111,3.20
201112,2.49
201201,0.97
201202,1.43
201203,2.16
201204,3.77
201205,2.37
201206,2.20
201207,1.08
201208,3.68
201209,1.48
201210,2.98
201211,1.04
201212,2.65
201301,1.96
201302,1.96
201303,2.42
201304,8.46
201305,5.31
201306,5.02
201307,1.84
201308,1.10
201309,2.07
201310,2.46
201311,1.83
201312,1.11
201401,0.95
201402,1.62
201403,0.59
201404,4.73
201405,3.08
201406,9.63
201407,3.26
201408,3.15
201409,4.36
201410,3.05
201411,1.77
201412,0.82
201501,0.84
201502,1.34
201503,0.75
201504,2.49
201505,6.24
201506,9.48
201507,3.22
201508,4.35
201509,5.05
201510,2.61
201511,5.71
201512,4.80
201601,0.40
201602,0.48
201603,3.12
201604,2.41
201605,3.72
201606,5.53
201607,6.62
201608,8.22
201609,4.37
201610,2.74
201611,1.65
201612,1.46
