Hamilton County, Iowa, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.35
201002,1.02
201003,1.00
201004,3.65
201005,3.71
201006,10.76
201007,10.35
201008,5.71
201009,5.08
201010,0.41
201011,2.48
201012,1.09
201101,0.83
201102,1.15
201103,1.04
201104,3.89
201105,3.68
201106,4.31
201107,3.59
201108,1.25
201109,2.20
201110,0.77
201111,1.56
201112,2.09
201201,0.42
201202,1.06
201203,1.78
201204,4.23
201205,3.23
201206,2.91
201207,1.52
201208,2.10
201209,2.60
201210,2.74
201211,0.67
201212,1.13
201301,0.60
201302,0.91
201303,2.35
201304,7.20
201305,9.40
201306,4.26
201307,1.83
201308,0.50
201309,1.66
201310,2.05
201311,1.71
201312,0.45
201401,0.20
201402,1.66
201403,1.01
201404,4.93
201405,4.71
201406,9.60
201407,3.34
201408,4.47
201409,4.58
201410,3.32
201411,0.51
201412,1.35
201501,0.61
201502,1.02
201503,0.33
201504,3.99
201505,5.16
201506,5.31
201507,4.46
201508,8.61
201509,3.23
201510,1.68
201511,3.01
201512,5.19
201601,0.75
201602,0.74
201603,1.97
201604,2.36
201605,4.78
201606,4.10
201607,5.54
201608,6.34
201609,7.49
201610,1.16
201611,1.47
201612,1.45
