Muscatine County, Iowa, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.95
201002,0.90
201003,2.38
201004,3.75
201005,5.84
201006,10.56
201007,6.73
201008,5.68
201009,5.18
201010,1.99
201011,1.66
201012,1.34
201101,0.84
201102,2.14
201103,2.03
201104,3.79
201105,3.98
201106,5.59
201107,2.79
201108,1.07
201109,2.41
201110,0.93
201111,3.87
201112,2.54
201201,0.58
201202,1.63
201203,1.60
201204,4.08
201205,4.28
201206,3.81
201207,0.91
201208,4.13
201209,2.12
201210,2.89
201211,1.21
201212,2.68
201301,2.11
201302,1.80
201303,2.47
201304,7.44
201305,7.90
201306,4.84
201307,2.33
201308,0.12
201309,1.79
201310,2.99
201311,2.06
201312,0.92
201401,0.54
201402,2.11
201403,0.62
201404,5.05
201405,2.34
201406,6.70
201407,7.01
201408,4.40
201409,6.17
201410,3.63
201411,1.93
201412,0.92
201501,0.97
201502,1.38
201503,0.67
201504,1.94
201505,6.45
201506,6.56
201507,6.00
201508,3.42
201509,2.98
201510,3.03
201511,5.94
201512,4.48
201601,0.46
201602,0.70
201603,2.46
201604,1.96
201605,3.82
201606,5.27
201607,5.98
201608,7.79
201609,2.22
201610,2.38
201611,1.10
201612,1.22
