Wapello County, Iowa, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.38
201002,1.16
201003,1.89
201004,3.38
201005,5.37
201006,12.02
201007,9.28
201008,9.21
201009,6.87
201010,0.98
201011,1.18
201012,0.85
201101,0.89
201102,1.65
201103,1.78
201104,3.62
201105,5.92
201106,9.95
201107,0.84
201108,1.89
201109,1.36
201110,1.03
201111,3.59
201112,2.82
201201,0.42
201202,1.80
201203,2.12
201204,3.66
201205,2.93
201206,3.02
201207,1.04
201208,3.05
201209,0.85
201210,4.03
201211,1.56
201212,1.95
201301,1.68
201302,1.83
201303,2.32
201304,8.40
201305,9.35
201306,2.73
201307,2.00
201308,0.65
201309,1.44
201310,3.86
201311,1.86
201312,0.61
201401,0.27
201402,1.88
201403,0.70
201404,4.44
201405,3.14
201406,7.55
201407,5.05
201408,6.42
201409,4.57
201410,3.75
201411,1.35
201412,0.91
201501,0.75
201502,1.36
201503,0.38
201504,2.60
201505,4.71
201506,7.98
201507,7.79
201508,1.82
201509,4.22
201510,1.68
201511,4.83
201512,4.63
201601,0.40
201602,0.70
201603,1.48
201604,2.42
201605,3.49
201606,2.06
201607,5.32
201608,6.34
201609,1.39
201610,1.43
201611,0.76
201612,1.34
