Jackson County, Illinois, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.85
201002,1.65
201003,4.28
201004,3.36
201005,4.76
201006,4.11
201007,2.04
201008,3.54
201009,2.27
201010,0.92
201011,4.84
201012,1.23
201101,0.87
201102,4.20
201103,4.68
201104,15.08
201105,7.57
201106,6.69
201107,4.68
201108,2.46
201109,6.28
201110,1.81
201111,7.61
201112,4.80
201201,2.99
201202,2.02
201203,3.48
201204,2.36
201205,1.08
201206,0.95
201207,1.88
201208,4.76
201209,4.64
201210,3.47
201211,1.95
201212,2.80
201301,5.76
201302,3.00
201303,4.70
201304,4.70
201305,4.98
201306,4.69
201307,5.21
201308,3.13
201309,0.96
201310,5.02
201311,3.54
201312,6.45
201401,1.82
201402,1.39
201403,2.28
201404,7.77
201405,5.58
201406,5.50
201407,2.78
201408,3.52
201409,1.74
201410,3.69
201411,2.44
201412,3.16
201501,2.71
201502,1.82
201503,5.94
201504,5.27
201505,5.39
201506,9.14
201507,6.73
201508,3.36
201509,3.38
201510,0.89
201511,7.46
201512,7.04
201601,1.02
201602,3.19
201603,3.95
201604,4.87
201605,7.18
201606,1.52
201607,8.52
201608,7.86
201609,4.65
201610,1.20
201611,3.04
201612,1.05
