Williamson County, Illinois, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.94
201002,1.81
201003,4.56
201004,3.63
201005,4.65
201006,4.21
201007,2.14
201008,3.97
201009,1.56
201010,0.80
201011,5.22
201012,1.48
201101,1.20
201102,4.11
201103,5.17
201104,15.60
201105,7.60
201106,7.34
201107,4.48
201108,1.97
201109,7.30
201110,1.88
201111,7.67
201112,5.24
201201,2.79
201202,1.91
201203,3.82
201204,2.37
201205,0.93
201206,0.94
201207,2.64
201208,4.14
201209,5.32
201210,3.74
201211,1.78
201212,3.23
201301,6.03
201302,3.09
201303,4.92
201304,4.44
201305,4.06
201306,4.33
201307,4.64
201308,3.05
201309,1.02
201310,4.53
201311,3.83
201312,6.93
201401,2.05
201402,1.67
201403,2.59
201404,8.57
201405,4.92
201406,5.25
201407,2.63
201408,3.72
201409,1.73
201410,3.51
201411,2.38
201412,3.09
201501,2.88
201502,1.94
201503,6.38
201504,5.41
201505,4.51
201506,8.75
201507,6.90
201508,2.87
201509,3.78
201510,1.27
201511,7.07
201512,6.54
201601,1.37
201602,3.17
201603,4.43
201604,4.77
201605,7.28
201606,1.75
201607,10.05
201608,8.75
201609,5.52
201610,1.30
201611,3.01
201612,1.57
