Knox County, Indiana, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.71
201002,1.69
201003,3.43
201004,3.53
201005,6.58
201006,5.51
201007,6.55
201008,1.67
201009,1.12
201010,0.79
201011,6.13
201012,1.13
201101,1.86
201102,3.36
201103,3.91
201104,11.76
201105,6.27
201106,7.94
201107,4.26
201108,0.77
201109,6.67
201110,2.98
201111,6.79
201112,5.15
201201,3.70
201202,1.31
201203,2.16
201204,2.90
201205,1.64
201206,0.54
201207,1.60
201208,3.24
201209,9.01
201210,3.68
201211,1.37
201212,2.76
201301,6.55
201302,2.60
201303,3.54
201304,5.89
201305,6.45
201306,8.18
201307,4.26
201308,0.71
201309,2.72
201310,6.24
201311,2.67
201312,7.01
201401,2.27
201402,2.11
201403,1.49
201404,8.16
201405,3.81
201406,5.17
201407,3.74
201408,4.73
201409,3.24
201410,5.38
201411,2.66
201412,3.71
201501,2.80
201502,1.61
201503,5.95
201504,6.94
201505,3.88
201506,9.03
201507,3.82
201508,2.10
201509,2.51
201510,1.68
201511,5.54
201512,5.37
201601,1.32
201602,3.47
201603,4.83
201604,4.99
201605,4.95
201606,2.96
201607,6.01
201608,7.83
201609,3.62
201610,1.82
201611,2.89
201612,2.44
