Martin County, Indiana, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.98
201002,1.69
201003,3.36
201004,3.62
201005,6.25
201006,7.03
201007,4.52
201008,1.38
201009,0.74
201010,1.23
201011,7.68
201012,1.48
201101,1.77
201102,3.78
201103,3.94
201104,12.02
201105,8.10
201106,7.39
201107,2.62
201108,1.86
201109,5.35
201110,2.87
201111,7.26
201112,5.39
201201,3.88
201202,1.38
201203,2.73
201204,3.14
201205,2.30
201206,0.54
201207,2.56
201208,2.57
201209,8.27
201210,3.64
201211,1.43
201212,3.75
201301,6.14
201302,2.66
201303,3.35
201304,4.90
201305,4.72
201306,8.57
201307,3.63
201308,1.32
201309,2.95
201310,5.45
201311,3.21
201312,5.44
201401,2.41
201402,1.71
201403,2.23
201404,8.25
201405,6.36
201406,5.73
201407,4.43
201408,5.49
201409,3.51
201410,5.52
201411,2.81
201412,4.15
201501,2.86
201502,1.59
201503,6.75
201504,6.65
201505,3.82
201506,9.42
201507,4.16
201508,2.29
201509,1.56
201510,3.56
201511,4.38
201512,4.79
201601,1.81
201602,4.23
201603,5.85
201604,5.54
201605,4.47
201606,4.55
201607,7.20
201608,7.26
201609,2.99
201610,1.94
201611,2.97
201612,3.23
