Wabash County, Indiana, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.03
201002,1.16
201003,2.89
201004,2.98
201005,5.08
201006,7.46
201007,4.01
201008,2.61
201009,1.54
201010,1.08
201011,3.64
201012,0.92
201101,1.59
201102,3.69
201103,2.51
201104,6.83
201105,6.83
201106,5.08
201107,1.64
201108,4.22
201109,5.79
201110,3.87
201111,6.09
201112,3.75
201201,3.32
201202,1.92
201203,2.17
201204,0.97
201205,1.46
201206,1.34
201207,2.65
201208,4.73
201209,3.29
201210,3.77
201211,0.73
201212,2.41
201301,3.31
201302,1.78
201303,1.52
201304,8.24
201305,2.80
201306,7.03
201307,3.36
201308,2.33
201309,2.68
201310,2.23
201311,2.65
201312,2.56
201401,2.50
201402,3.18
201403,1.37
201404,4.14
201405,3.39
201406,6.20
201407,1.59
201408,5.21
201409,3.94
201410,2.90
201411,3.39
201412,1.49
201501,2.08
201502,1.24
201503,1.77
201504,2.97
201505,4.25
201506,11.72
201507,5.03
201508,2.27
201509,2.76
201510,1.57
201511,2.53
201512,4.86
201601,1.34
201602,1.53
201603,3.44
201604,3.89
201605,3.42
201606,5.91
201607,3.12
201608,6.42
201609,3.31
201610,2.37
201611,2.17
201612,2.20
