Ellis County, Kansas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.17
201002,0.42
201003,2.01
201004,2.16
201005,3.41
201006,3.29
201007,2.24
201008,3.96
201009,2.23
201010,0.14
201011,0.94
201012,0.15
201101,0.38
201102,0.66
201103,0.67
201104,1.25
201105,3.77
201106,2.28
201107,3.52
201108,3.98
201109,0.64
201110,1.46
201111,1.08
201112,1.78
201201,0.02
201202,1.26
201203,1.64
201204,2.70
201205,1.21
201206,1.16
201207,0.80
201208,3.24
201209,1.21
201210,1.00
201211,0.03
201212,0.69
201301,0.74
201302,1.36
201303,0.89
201304,1.22
201305,2.85
201306,2.32
201307,5.27
201308,1.65
201309,2.87
201310,1.16
201311,1.23
201312,0.08
201401,0.15
201402,0.79
201403,0.18
201404,1.20
201405,0.75
201406,9.71
201407,1.98
201408,2.58
201409,4.47
201410,1.97
201411,0.04
201412,0.77
201501,0.42
201502,0.66
201503,0.05
201504,1.69
201505,6.19
201506,1.16
201507,4.41
201508,0.93
201509,0.61
201510,2.02
201511,1.77
201512,1.99
201601,0.65
201602,0.58
201603,0.58
201604,6.22
201605,3.69
201606,3.42
201607,3.82
201608,3.70
201609,2.81
201610,0.44
201611,0.85
201612,0.60
