Gray County, Kansas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.48
201002,0.55
201003,1.67
201004,1.66
201005,3.10
201006,2.43
201007,3.70
201008,2.30
201009,0.29
201010,0.70
201011,0.78
201012,0.30
201101,0.27
201102,0.25
201103,0.49
201104,1.00
201105,0.81
201106,0.83
201107,0.43
201108,0.96
201109,0.73
201110,0.68
201111,1.21
201112,1.98
201201,0.04
201202,0.81
201203,1.94
201204,2.88
201205,0.27
201206,1.72
201207,2.38
201208,1.91
201209,1.49
201210,1.37
201211,0.01
201212,0.64
201301,0.40
201302,0.75
201303,0.19
201304,0.65
201305,0.66
201306,3.29
201307,1.84
201308,4.75
201309,2.32
201310,1.45
201311,1.02
201312,0.18
201401,0.17
201402,0.51
201403,0.22
201404,0.74
201405,0.48
201406,8.33
201407,3.40
201408,2.85
201409,1.84
201410,1.83
201411,0.08
201412,0.90
201501,0.40
201502,0.77
201503,0.38
201504,0.97
201505,10.46
201506,2.71
201507,4.98
201508,3.28
201509,0.48
201510,4.25
201511,1.21
201512,1.62
201601,0.08
201602,0.33
201603,0.06
201604,6.59
201605,1.40
201606,5.46
201607,6.49
201608,2.36
201609,0.43
201610,0.06
201611,0.34
201612,0.49
