Lee County, Kentucky, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.77
201002,2.42
201003,2.35
201004,2.97
201005,7.12
201006,5.44
201007,4.56
201008,4.67
201009,1.92
201010,1.87
201011,4.30
201012,4.08
201101,2.34
201102,3.66
201103,5.20
201104,10.35
201105,5.72
201106,5.06
201107,4.93
201108,3.00
201109,4.84
201110,4.20
201111,6.29
201112,3.68
201201,3.62
201202,2.59
201203,4.82
201204,2.02
201205,4.70
201206,0.85
201207,6.79
201208,2.34
201209,6.36
201210,3.45
201211,1.23
201212,5.82
201301,5.01
201302,1.75
201303,4.48
201304,3.54
201305,4.42
201306,6.56
201307,6.38
201308,6.37
201309,2.44
201310,2.60
201311,3.09
201312,6.11
201401,2.54
201402,4.50
201403,4.09
201404,5.41
201405,3.40
201406,4.06
201407,5.57
201408,7.20
201409,2.43
201410,7.32
201411,3.03
201412,3.07
201501,1.78
201502,3.75
201503,6.37
201504,8.60
201505,1.63
201506,6.44
201507,10.29
201508,3.71
201509,2.72
201510,3.23
201511,2.72
201512,5.92
201601,2.28
201602,5.93
201603,2.13
201604,3.46
201605,7.39
201606,3.44
201607,7.34
201608,6.20
201609,1.65
201610,1.09
201611,2.44
201612,6.21
