Ascension Parish, Louisiana, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.67
201002,7.12
201003,2.56
201004,1.11
201005,5.27
201006,6.11
201007,5.26
201008,9.34
201009,1.74
201010,1.31
201011,5.50
201012,2.64
201101,4.13
201102,1.98
201103,5.48
201104,1.15
201105,0.35
201106,4.74
201107,9.40
201108,3.37
201109,11.24
201110,0.41
201111,2.51
201112,2.65
201201,2.75
201202,5.71
201203,7.02
201204,4.68
201205,3.77
201206,6.66
201207,9.89
201208,18.07
201209,5.00
201210,0.74
201211,2.20
201212,4.79
201301,14.84
201302,8.50
201303,0.85
201304,7.12
201305,8.14
201306,2.51
201307,5.40
201308,5.39
201309,6.71
201310,2.59
201311,2.66
201312,3.54
201401,2.44
201402,6.64
201403,2.94
201404,4.05
201405,17.04
201406,7.60
201407,6.71
201408,4.73
201409,5.14
201410,2.80
201411,2.15
201412,5.56
201501,4.64
201502,2.79
201503,4.77
201504,11.33
201505,7.00
201506,7.59
201507,4.79
201508,3.73
201509,4.27
201510,9.24
201511,8.90
201512,6.86
201601,4.25
201602,5.04
201603,9.36
201604,3.83
201605,7.48
201606,10.65
201607,7.52
201608,21.63
201609,3.99
201610,0.18
201611,1.51
201612,6.62
