Tangipahoa Parish, Louisiana, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.81
201002,6.58
201003,2.83
201004,1.81
201005,4.36
201006,5.84
201007,5.82
201008,11.24
201009,0.74
201010,1.12
201011,5.01
201012,1.98
201101,4.28
201102,2.14
201103,8.67
201104,1.51
201105,0.95
201106,4.64
201107,7.13
201108,1.83
201109,12.52
201110,0.30
201111,2.54
201112,3.34
201201,3.09
201202,7.76
201203,6.48
201204,3.95
201205,2.71
201206,6.24
201207,7.99
201208,13.99
201209,4.22
201210,0.89
201211,2.46
201212,8.22
201301,14.91
201302,8.53
201303,1.09
201304,7.09
201305,6.71
201306,3.43
201307,5.05
201308,5.98
201309,4.67
201310,1.37
201311,4.00
201312,4.08
201401,2.35
201402,7.67
201403,5.08
201404,5.77
201405,12.31
201406,7.88
201407,5.81
201408,4.54
201409,3.33
201410,2.39
201411,2.39
201412,6.88
201501,4.79
201502,3.24
201503,5.37
201504,8.40
201505,8.79
201506,6.38
201507,4.56
201508,2.71
201509,3.42
201510,9.40
201511,9.01
201512,7.49
201601,4.30
201602,6.04
201603,14.87
201604,4.59
201605,5.17
201606,7.16
201607,6.13
201608,20.20
201609,3.54
201610,0.17
201611,3.36
201612,5.57
