Baltimore County, Maryland, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.43
201002,3.78
201003,4.56
201004,2.32
201005,3.15
201006,1.64
201007,5.37
201008,4.61
201009,6.82
201010,4.29
201011,2.35
201012,2.17
201101,2.38
201102,2.73
201103,5.65
201104,5.59
201105,3.41
201106,2.21
201107,3.47
201108,10.07
201109,10.98
201110,3.90
201111,4.25
201112,4.19
201201,2.33
201202,1.96
201203,1.71
201204,2.42
201205,3.79
201206,3.59
201207,4.90
201208,4.75
201209,3.67
201210,10.12
201211,0.86
201212,3.50
201301,4.42
201302,2.02
201303,2.78
201304,2.58
201305,3.54
201306,7.99
201307,4.46
201308,3.52
201309,1.70
201310,6.77
201311,3.04
201312,5.37
201401,2.93
201402,4.96
201403,4.50
201404,7.48
201405,4.85
201406,5.61
201407,3.91
201408,5.05
201409,2.38
201410,4.04
201411,3.69
201412,3.45
201501,3.62
201502,1.91
201503,4.87
201504,2.92
201505,2.93
201506,10.06
201507,3.77
201508,2.18
201509,5.13
201510,3.62
201511,2.36
201512,5.33
201601,3.63
201602,5.18
201603,2.03
201604,2.01
201605,5.06
201606,3.93
201607,5.81
201608,3.68
201609,5.29
201610,1.07
201611,1.70
201612,3.07
