Alcona County, Michigan, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.41
201002,0.49
201003,0.53
201004,1.77
201005,2.81
201006,6.03
201007,6.15
201008,2.30
201009,3.58
201010,1.39
201011,1.00
201012,0.93
201101,0.94
201102,0.87
201103,1.90
201104,6.57
201105,3.26
201106,3.98
201107,1.55
201108,3.50
201109,3.21
201110,4.60
201111,2.07
201112,1.10
201201,1.32
201202,1.10
201203,2.82
201204,1.29
201205,2.15
201206,2.92
201207,1.85
201208,3.65
201209,1.75
201210,4.35
201211,0.49
201212,2.96
201301,3.02
201302,1.87
201303,1.10
201304,5.25
201305,4.54
201306,2.21
201307,3.91
201308,1.56
201309,1.80
201310,3.10
201311,2.35
201312,1.97
201401,1.27
201402,1.17
201403,0.98
201404,5.25
201405,2.98
201406,2.25
201407,4.14
201408,5.92
201409,3.62
201410,2.32
201411,3.10
201412,2.00
201501,0.77
201502,0.49
201503,0.61
201504,2.04
201505,3.54
201506,3.72
201507,1.57
201508,4.19
201509,2.05
201510,2.06
201511,2.18
201512,3.03
201601,1.45
201602,2.31
201603,3.67
201604,3.32
201605,1.57
201606,1.78
201607,2.91
201608,4.17
201609,2.90
201610,3.00
201611,1.66
201612,1.96
