Alpena County, Michigan, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.47
201002,0.66
201003,0.43
201004,1.98
201005,3.02
201006,5.79
201007,4.27
201008,2.91
201009,4.48
201010,1.63
201011,0.82
201012,1.32
201101,1.21
201102,0.68
201103,1.78
201104,6.39
201105,3.09
201106,5.09
201107,1.83
201108,3.62
201109,4.59
201110,4.63
201111,2.04
201112,1.14
201201,1.78
201202,1.38
201203,2.43
201204,1.52
201205,2.18
201206,4.15
201207,2.36
201208,3.41
201209,1.93
201210,4.90
201211,0.82
201212,3.00
201301,2.92
201302,1.68
201303,1.33
201304,4.57
201305,4.37
201306,2.50
201307,3.61
201308,1.59
201309,1.83
201310,3.79
201311,2.26
201312,2.25
201401,1.47
201402,1.09
201403,1.07
201404,5.17
201405,2.50
201406,1.59
201407,4.36
201408,5.77
201409,4.29
201410,3.47
201411,3.59
201412,1.88
201501,1.08
201502,0.62
201503,0.85
201504,2.05
201505,3.84
201506,2.49
201507,1.73
201508,2.88
201509,1.64
201510,2.30
201511,2.37
201512,3.71
201601,1.74
201602,2.41
201603,4.44
201604,3.26
201605,1.53
201606,1.52
201607,2.88
201608,2.78
201609,2.92
201610,2.68
201611,1.70
201612,2.16
