Kent County, Michigan, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.95
201002,1.68
201003,1.20
201004,3.18
201005,3.73
201006,6.18
201007,3.68
201008,1.59
201009,3.42
201010,2.56
201011,2.49
201012,1.38
201101,1.65
201102,2.36
201103,3.55
201104,6.23
201105,4.52
201106,3.52
201107,5.05
201108,3.80
201109,2.34
201110,3.39
201111,2.99
201112,2.34
201201,2.87
201202,1.70
201203,3.67
201204,2.50
201205,2.82
201206,2.35
201207,3.24
201208,3.46
201209,1.58
201210,5.82
201211,0.56
201212,2.82
201301,4.02
201302,2.94
201303,0.87
201304,9.76
201305,3.97
201306,3.87
201307,2.15
201308,2.60
201309,1.52
201310,4.62
201311,3.85
201312,2.78
201401,3.08
201402,2.04
201403,1.42
201404,3.28
201405,3.88
201406,5.49
201407,4.42
201408,4.04
201409,3.28
201410,4.60
201411,3.91
201412,1.64
201501,1.54
201502,1.06
201503,1.00
201504,3.89
201505,4.28
201506,3.81
201507,2.96
201508,3.22
201509,2.33
201510,2.67
201511,2.90
201512,4.00
201601,1.82
201602,2.16
201603,4.35
201604,3.14
201605,3.25
201606,1.39
201607,4.41
201608,6.91
201609,3.30
201610,4.79
201611,2.81
201612,2.33
