Chippewa County, Minnesota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.27
201002,1.00
201003,1.26
201004,1.07
201005,2.33
201006,5.70
201007,4.28
201008,6.64
201009,7.04
201010,1.73
201011,0.86
201012,2.44
201101,1.16
201102,1.24
201103,2.12
201104,1.98
201105,4.62
201106,4.51
201107,5.58
201108,1.39
201109,0.45
201110,1.22
201111,0.20
201112,0.22
201201,0.26
201202,1.45
201203,1.24
201204,2.79
201205,6.38
201206,3.87
201207,0.65
201208,2.32
201209,0.29
201210,1.19
201211,0.64
201212,1.69
201301,0.50
201302,1.31
201303,1.70
201304,3.31
201305,3.36
201306,7.13
201307,2.76
201308,1.80
201309,2.74
201310,3.00
201311,0.13
201312,0.87
201401,0.80
201402,0.35
201403,1.13
201404,3.55
201405,3.66
201406,10.17
201407,1.53
201408,5.40
201409,1.87
201410,0.99
201411,1.51
201412,0.87
201501,0.39
201502,0.32
201503,0.52
201504,0.84
201505,6.13
201506,3.83
201507,4.56
201508,4.41
201509,0.92
201510,1.83
201511,2.13
201512,1.52
201601,0.31
201602,0.52
201603,1.44
201604,2.40
201605,2.43
201606,2.75
201607,7.32
201608,7.02
201609,3.70
201610,2.76
201611,2.06
201612,1.54
