Alcorn County, Mississippi, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.41
201002,3.26
201003,5.02
201004,3.31
201005,12.25
201006,3.13
201007,6.16
201008,3.70
201009,1.87
201010,1.61
201011,5.51
201012,3.05
201101,3.36
201102,4.34
201103,6.62
201104,12.18
201105,4.06
201106,5.10
201107,1.96
201108,2.73
201109,6.63
201110,1.46
201111,4.47
201112,6.61
201201,5.39
201202,3.05
201203,5.41
201204,2.05
201205,2.75
201206,4.30
201207,4.43
201208,2.97
201209,3.91
201210,4.62
201211,1.79
201212,7.49
201301,7.80
201302,4.10
201303,5.41
201304,6.69
201305,5.47
201306,4.25
201307,4.15
201308,2.76
201309,4.52
201310,2.17
201311,3.96
201312,6.68
201401,2.15
201402,6.07
201403,3.52
201404,5.52
201405,3.27
201406,8.24
201407,6.58
201408,3.51
201409,1.76
201410,6.70
201411,3.49
201412,5.77
201501,2.82
201502,5.46
201503,8.15
201504,6.28
201505,5.06
201506,4.30
201507,3.79
201508,5.75
201509,1.69
201510,3.20
201511,5.52
201512,9.14
201601,3.39
201602,4.54
201603,6.78
201604,5.14
201605,2.16
201606,3.25
201607,5.88
201608,4.77
201609,1.38
201610,1.72
201611,2.85
201612,5.16
