Richland County, Montana, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.60
201002,0.23
201003,0.19
201004,0.96
201005,5.85
201006,3.38
201007,2.31
201008,2.57
201009,1.37
201010,1.05
201011,0.97
201012,0.85
201101,1.10
201102,0.38
201103,0.90
201104,2.45
201105,6.55
201106,2.76
201107,2.81
201108,0.73
201109,0.90
201110,0.79
201111,0.33
201112,0.13
201201,0.11
201202,0.20
201203,0.16
201204,1.34
201205,2.37
201206,2.02
201207,2.29
201208,1.24
201209,0.08
201210,2.08
201211,0.65
201212,0.34
201301,0.32
201302,0.13
201303,1.09
201304,0.78
201305,5.88
201306,3.80
201307,1.20
201308,1.99
201309,1.12
201310,0.93
201311,0.38
201312,0.58
201401,0.09
201402,0.13
201403,0.55
201404,1.47
201405,2.63
201406,2.49
201407,0.72
201408,4.89
201409,0.64
201410,0.71
201411,0.42
201412,0.26
201501,0.52
201502,0.36
201503,0.64
201504,0.48
201505,1.64
201506,2.94
201507,2.05
201508,1.26
201509,1.74
201510,0.73
201511,0.35
201512,0.33
201601,0.18
201602,0.51
201603,0.23
201604,2.20
201605,2.57
201606,1.79
201607,2.78
201608,0.82
201609,2.79
201610,1.20
201611,0.24
201612,0.80
