Chowan County, North Carolina, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.63
201002,4.70
201003,5.74
201004,1.00
201005,5.05
201006,2.70
201007,3.97
201008,5.32
201009,12.51
201010,4.81
201011,1.09
201012,2.51
201101,3.00
201102,2.24
201103,4.69
201104,3.16
201105,1.31
201106,1.94
201107,7.19
201108,13.32
201109,6.71
201110,2.02
201111,2.81
201112,1.14
201201,2.55
201202,2.90
201203,4.80
201204,2.81
201205,7.05
201206,3.30
201207,5.32
201208,6.40
201209,3.56
201210,5.24
201211,0.63
201212,5.56
201301,1.99
201302,4.50
201303,1.84
201304,3.22
201305,2.07
201306,7.37
201307,5.56
201308,6.66
201309,1.85
201310,5.62
201311,2.73
201312,5.49
201401,3.65
201402,2.19
201403,4.87
201404,6.09
201405,2.38
201406,3.93
201407,6.51
201408,5.64
201409,7.55
201410,1.32
201411,3.63
201412,4.19
201501,5.06
201502,3.54
201503,5.07
201504,4.61
201505,3.42
201506,6.30
201507,5.06
201508,3.04
201509,5.48
201510,5.10
201511,5.50
201512,5.11
201601,3.71
201602,6.51
201603,3.09
201604,4.55
201605,5.14
201606,5.63
201607,5.88
201608,3.77
201609,16.26
201610,11.19
201611,2.04
201612,2.46
