Martin County, North Carolina, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.00
201002,3.91
201003,5.38
201004,1.50
201005,4.74
201006,2.23
201007,3.22
201008,4.56
201009,13.22
201010,4.43
201011,1.05
201012,2.48
201101,2.27
201102,2.31
201103,4.60
201104,3.44
201105,1.65
201106,2.36
201107,4.46
201108,15.33
201109,6.75
201110,1.90
201111,3.09
201112,1.03
201201,2.61
201202,3.29
201203,4.42
201204,2.96
201205,7.98
201206,2.27
201207,7.03
201208,6.02
201209,4.54
201210,4.72
201211,0.80
201212,4.66
201301,2.25
201302,4.22
201303,1.60
201304,3.47
201305,2.38
201306,10.40
201307,6.52
201308,5.42
201309,3.07
201310,3.49
201311,2.89
201312,5.21
201401,3.15
201402,3.25
201403,5.46
201404,5.65
201405,2.99
201406,6.34
201407,6.92
201408,5.91
201409,6.83
201410,1.70
201411,3.52
201412,4.63
201501,5.13
201502,3.61
201503,4.43
201504,4.60
201505,2.95
201506,5.05
201507,4.09
201508,2.87
201509,6.12
201510,6.17
201511,6.28
201512,5.05
201601,3.41
201602,7.37
201603,2.63
201604,4.62
201605,4.94
201606,6.02
201607,5.89
201608,4.14
201609,14.29
201610,9.17
201611,1.36
201612,3.06
