Traill County, North Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.15
201002,0.60
201003,1.34
201004,1.29
201005,3.85
201006,3.01
201007,2.66
201008,3.42
201009,5.28
201010,2.23
201011,0.55
201012,1.03
201101,0.92
201102,0.04
201103,1.38
201104,1.99
201105,2.69
201106,3.94
201107,3.77
201108,3.97
201109,1.25
201110,0.55
201111,0.08
201112,0.39
201201,0.47
201202,0.58
201203,1.52
201204,1.40
201205,1.62
201206,3.31
201207,2.50
201208,1.63
201209,0.22
201210,2.52
201211,0.65
201212,0.28
201301,0.50
201302,0.72
201303,1.03
201304,1.49
201305,5.09
201306,4.29
201307,0.86
201308,1.03
201309,3.54
201310,3.17
201311,0.11
201312,0.81
201401,0.61
201402,0.17
201403,0.25
201404,3.38
201405,2.16
201406,6.38
201407,2.16
201408,2.90
201409,1.42
201410,0.61
201411,0.43
201412,0.24
201501,0.25
201502,0.27
201503,0.35
201504,0.82
201505,4.94
201506,3.57
201507,3.91
201508,1.53
201509,0.63
201510,1.26
201511,1.50
201512,0.87
201601,0.40
201602,0.25
201603,0.82
201604,2.16
201605,3.50
201606,3.09
201607,5.34
201608,3.48
201609,4.03
201610,1.16
201611,1.40
201612,1.58
