Red Willow County, Nebraska, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.11
201002,0.59
201003,2.57
201004,3.13
201005,2.49
201006,5.88
201007,3.22
201008,3.73
201009,0.77
201010,0.69
201011,0.43
201012,0.22
201101,0.37
201102,0.40
201103,0.52
201104,2.48
201105,5.51
201106,1.65
201107,3.89
201108,4.17
201109,0.45
201110,2.04
201111,0.38
201112,0.80
201201,0.07
201202,0.75
201203,0.67
201204,2.50
201205,0.97
201206,0.99
201207,2.61
201208,0.50
201209,0.28
201210,0.51
201211,0.03
201212,0.90
201301,0.14
201302,1.17
201303,0.60
201304,2.11
201305,2.02
201306,1.36
201307,1.97
201308,1.50
201309,2.85
201310,1.12
201311,0.55
201312,0.19
201401,0.25
201402,0.59
201403,0.41
201404,1.64
201405,2.40
201406,8.43
201407,1.83
201408,5.04
201409,1.96
201410,0.37
201411,0.01
201412,1.32
201501,0.11
201502,0.28
201503,0.09
201504,2.53
201505,4.39
201506,4.31
201507,3.04
201508,3.14
201509,1.24
201510,1.54
201511,2.85
201512,0.32
201601,0.06
201602,0.84
201603,0.34
201604,6.08
201605,3.06
201606,2.33
201607,2.60
201608,3.14
201609,2.79
201610,0.13
201611,0.63
201612,0.49
