Morris County, New Jersey, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.78
201002,3.87
201003,9.40
201004,3.16
201005,3.64
201006,2.70
201007,4.37
201008,3.51
201009,3.47
201010,5.86
201011,2.50
201012,4.01
201101,3.26
201102,3.30
201103,7.15
201104,6.85
201105,5.75
201106,4.64
201107,3.18
201108,13.29
201109,9.55
201110,4.65
201111,3.80
201112,4.75
201201,3.04
201202,1.00
201203,1.34
201204,2.80
201205,5.54
201206,3.38
201207,3.63
201208,3.85
201209,4.79
201210,5.09
201211,1.11
201212,5.85
201301,3.03
201302,2.38
201303,2.67
201304,2.21
201305,5.04
201306,8.26
201307,5.01
201308,4.82
201309,2.18
201310,0.88
201311,3.31
201312,4.09
201401,2.93
201402,4.96
201403,3.30
201404,4.76
201405,5.51
201406,4.67
201407,5.14
201408,2.22
201409,1.30
201410,4.41
201411,3.81
201412,3.88
201501,3.73
201502,1.91
201503,3.74
201504,2.49
201505,1.33
201506,7.10
201507,2.75
201508,2.66
201509,4.44
201510,3.98
201511,2.11
201512,4.46
201601,3.23
201602,4.13
201603,1.16
201604,2.19
201605,3.91
201606,2.42
201607,6.57
201608,3.07
201609,1.98
201610,2.44
201611,3.61
201612,3.31
