Luna County, New Mexico, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.87
201002,1.27
201003,0.24
201004,0.20
201005,0.02
201006,0.23
201007,3.40
201008,1.13
201009,0.56
201010,0.24
201011,0.00
201012,0.16
201101,0.00
201102,0.06
201103,0.00
201104,0.00
201105,0.00
201106,0.03
201107,1.30
201108,1.74
201109,0.53
201110,0.54
201111,0.73
201112,2.20
201201,0.19
201202,0.51
201203,0.14
201204,0.01
201205,0.13
201206,0.10
201207,1.35
201208,1.33
201209,0.98
201210,0.03
201211,0.06
201212,0.64
201301,0.28
201302,0.13
201303,0.17
201304,0.01
201305,0.02
201306,0.01
201307,3.26
201308,2.63
201309,3.12
201310,0.03
201311,0.35
201312,0.44
201401,0.00
201402,0.00
201403,0.39
201404,0.30
201405,0.01
201406,0.04
201407,1.91
201408,1.89
201409,4.94
201410,0.50
201411,0.49
201412,0.49
201501,1.38
201502,0.20
201503,0.59
201504,0.26
201505,0.19
201506,0.68
201507,3.49
201508,1.88
201509,0.79
201510,2.07
201511,0.63
201512,0.52
201601,0.51
201602,0.16
201603,0.00
201604,0.46
201605,0.23
201606,0.75
201607,0.65
201608,3.71
201609,1.08
201610,0.05
201611,0.35
201612,2.02
