Otero County, New Mexico, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.54
201002,1.08
201003,0.49
201004,0.93
201005,0.27
201006,0.88
201007,4.65
201008,2.59
201009,1.83
201010,0.73
201011,0.00
201012,0.14
201101,0.01
201102,0.18
201103,0.00
201104,0.00
201105,0.00
201106,0.32
201107,2.31
201108,1.59
201109,1.21
201110,0.66
201111,0.53
201112,1.27
201201,0.63
201202,0.20
201203,0.23
201204,0.08
201205,1.34
201206,0.19
201207,1.88
201208,1.84
201209,1.64
201210,0.39
201211,0.19
201212,0.58
201301,0.50
201302,0.25
201303,0.17
201304,0.03
201305,0.12
201306,0.54
201307,3.94
201308,1.76
201309,4.69
201310,0.12
201311,0.33
201312,0.63
201401,0.00
201402,0.13
201403,0.45
201404,0.26
201405,0.37
201406,0.09
201407,3.38
201408,2.81
201409,5.51
201410,0.70
201411,0.68
201412,0.51
201501,1.22
201502,0.28
201503,1.02
201504,0.77
201505,1.49
201506,1.01
201507,3.79
201508,1.67
201509,0.82
201510,3.50
201511,0.79
201512,0.96
201601,0.49
201602,0.11
201603,0.01
201604,0.40
201605,1.01
201606,1.52
201607,0.61
201608,3.20
201609,2.01
201610,0.41
201611,0.56
201612,1.26
