Jefferson County, New York, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.28
201002,1.66
201003,1.74
201004,1.49
201005,2.35
201006,6.88
201007,4.37
201008,3.63
201009,5.21
201010,6.94
201011,3.29
201012,3.41
201101,1.44
201102,2.83
201103,3.98
201104,6.17
201105,5.70
201106,3.44
201107,2.40
201108,6.21
201109,4.53
201110,4.61
201111,2.73
201112,3.76
201201,4.68
201202,1.65
201203,2.31
201204,2.55
201205,2.44
201206,3.27
201207,1.90
201208,2.96
201209,5.47
201210,3.54
201211,1.66
201212,5.75
201301,2.59
201302,2.93
201303,1.46
201304,3.54
201305,2.65
201306,6.55
201307,3.36
201308,2.95
201309,3.11
201310,4.47
201311,4.70
201312,3.74
201401,3.98
201402,3.27
201403,3.03
201404,4.91
201405,4.42
201406,4.31
201407,4.84
201408,5.11
201409,2.38
201410,3.78
201411,3.08
201412,2.43
201501,2.99
201502,1.86
201503,1.17
201504,2.27
201505,1.98
201506,7.57
201507,2.15
201508,2.86
201509,4.09
201510,3.03
201511,2.42
201512,3.24
201601,2.07
201602,5.37
201603,2.83
201604,2.10
201605,1.76
201606,3.35
201607,1.01
201608,4.54
201609,2.67
201610,6.78
201611,2.12
201612,3.49
