Crawford County, Ohio, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.24
201002,1.78
201003,2.16
201004,2.10
201005,4.00
201006,7.47
201007,3.52
201008,2.25
201009,2.45
201010,1.82
201011,4.78
201012,1.40
201101,1.54
201102,5.06
201103,3.74
201104,5.72
201105,7.20
201106,2.65
201107,5.28
201108,4.12
201109,6.58
201110,4.16
201111,5.68
201112,4.80
201201,2.62
201202,2.08
201203,2.75
201204,1.83
201205,3.61
201206,2.00
201207,2.73
201208,3.39
201209,7.74
201210,5.50
201211,1.07
201212,3.61
201301,2.20
201302,1.69
201303,1.74
201304,4.90
201305,1.71
201306,6.98
201307,8.57
201308,2.15
201309,2.76
201310,4.63
201311,2.74
201312,3.84
201401,1.67
201402,2.02
201403,1.86
201404,5.55
201405,4.13
201406,5.95
201407,2.17
201408,3.92
201409,2.18
201410,2.30
201411,1.54
201412,1.99
201501,2.76
201502,1.48
201503,2.70
201504,4.47
201505,4.09
201506,6.96
201507,3.61
201508,2.19
201509,2.49
201510,2.43
201511,2.42
201512,4.25
201601,1.35
201602,2.92
201603,4.63
201604,3.35
201605,3.61
201606,2.77
201607,1.86
201608,3.51
201609,3.51
201610,3.50
201611,1.21
201612,3.49
