Rogers County, Oklahoma, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.53
201002,1.68
201003,3.47
201004,1.95
201005,6.46
201006,7.04
201007,3.81
201008,1.88
201009,5.54
201010,0.92
201011,2.41
201012,0.51
201101,0.29
201102,3.06
201103,1.63
201104,6.21
201105,6.11
201106,1.31
201107,1.05
201108,5.63
201109,2.96
201110,1.62
201111,6.15
201112,1.83
201201,0.75
201202,2.00
201203,6.93
201204,3.99
201205,1.19
201206,3.67
201207,0.60
201208,2.86
201209,2.58
201210,3.49
201211,1.11
201212,0.74
201301,2.32
201302,3.47
201303,1.84
201304,3.89
201305,5.46
201306,1.83
201307,5.12
201308,3.28
201309,2.56
201310,4.27
201311,2.16
201312,1.39
201401,0.28
201402,0.30
201403,2.45
201404,2.18
201405,2.89
201406,5.05
201407,4.29
201408,1.95
201409,2.35
201410,5.05
201411,1.85
201412,1.76
201501,0.59
201502,1.41
201503,3.56
201504,4.00
201505,14.08
201506,5.51
201507,5.21
201508,4.42
201509,2.63
201510,1.72
201511,7.69
201512,9.58
201601,0.68
201602,0.75
201603,2.08
201604,6.82
201605,4.67
201606,0.89
201607,3.21
201608,2.80
201609,2.90
201610,3.55
201611,1.53
201612,0.60
