Brookings County, South Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.11
201002,0.96
201003,1.26
201004,1.56
201005,2.65
201006,8.51
201007,6.14
201008,4.41
201009,7.48
201010,1.08
201011,0.27
201012,2.02
201101,1.62
201102,1.44
201103,1.27
201104,2.56
201105,5.85
201106,3.95
201107,5.12
201108,1.53
201109,0.22
201110,0.65
201111,0.14
201112,0.30
201201,0.63
201202,1.52
201203,0.80
201204,3.37
201205,6.69
201206,1.83
201207,0.97
201208,2.50
201209,0.70
201210,2.14
201211,0.50
201212,1.75
201301,0.21
201302,0.93
201303,1.17
201304,3.02
201305,3.46
201306,6.00
201307,3.33
201308,1.58
201309,2.32
201310,2.86
201311,0.40
201312,0.66
201401,0.46
201402,0.29
201403,1.28
201404,2.05
201405,2.44
201406,8.03
201407,2.05
201408,3.45
201409,1.53
201410,0.78
201411,0.95
201412,1.17
201501,0.53
201502,0.51
201503,0.36
201504,0.57
201505,4.72
201506,3.27
201507,4.51
201508,7.11
201509,1.64
201510,1.38
201511,1.69
201512,1.67
201601,0.38
201602,0.54
201603,1.45
201604,2.59
201605,3.16
201606,3.05
201607,5.45
201608,5.15
201609,3.56
201610,2.20
201611,1.41
201612,1.60
