Brown County, South Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.91
201002,0.82
201003,1.24
201004,1.98
201005,4.46
201006,3.78
201007,3.26
201008,1.38
201009,4.81
201010,0.87
201011,0.18
201012,1.58
201101,1.10
201102,0.86
201103,1.31
201104,2.57
201105,2.92
201106,4.58
201107,6.64
201108,1.57
201109,0.74
201110,0.98
201111,0.05
201112,0.31
201201,0.48
201202,0.87
201203,0.40
201204,3.69
201205,1.52
201206,1.68
201207,2.69
201208,1.85
201209,0.10
201210,1.13
201211,0.34
201212,0.61
201301,0.71
201302,1.15
201303,0.34
201304,1.95
201305,3.80
201306,3.99
201307,2.24
201308,0.35
201309,2.98
201310,4.72
201311,0.15
201312,0.87
201401,0.31
201402,0.10
201403,0.54
201404,2.43
201405,1.92
201406,5.17
201407,0.85
201408,5.39
201409,0.78
201410,0.41
201411,0.60
201412,0.29
201501,0.49
201502,0.36
201503,0.34
201504,0.41
201505,6.95
201506,2.44
201507,3.49
201508,3.25
201509,0.57
201510,1.45
201511,0.93
201512,0.75
201601,0.18
201602,0.46
201603,0.52
201604,3.53
201605,1.95
201606,2.40
201607,4.18
201608,3.02
201609,1.64
201610,2.28
201611,1.51
201612,1.33
