Lawrence County, South Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.67
201002,0.99
201003,0.91
201004,3.88
201005,5.53
201006,3.96
201007,1.64
201008,2.52
201009,1.29
201010,1.60
201011,1.25
201012,1.10
201101,1.98
201102,1.69
201103,1.37
201104,2.31
201105,7.87
201106,3.09
201107,2.68
201108,2.20
201109,0.72
201110,0.65
201111,1.17
201112,1.16
201201,1.07
201202,1.34
201203,0.28
201204,2.63
201205,2.55
201206,1.48
201207,2.69
201208,1.29
201209,0.01
201210,1.04
201211,0.64
201212,0.76
201301,1.19
201302,0.84
201303,0.93
201304,3.21
201305,7.34
201306,2.75
201307,3.02
201308,2.49
201309,2.18
201310,8.56
201311,0.56
201312,1.41
201401,0.97
201402,1.14
201403,2.40
201404,3.00
201405,2.55
201406,4.93
201407,1.22
201408,3.31
201409,3.89
201410,1.48
201411,1.38
201412,1.11
201501,0.73
201502,0.94
201503,0.47
201504,1.79
201505,7.39
201506,6.12
201507,2.71
201508,3.98
201509,0.69
201510,1.61
201511,0.59
201512,1.20
201601,0.73
201602,1.42
201603,2.04
201604,2.34
201605,1.08
201606,1.12
201607,2.06
201608,2.69
201609,1.86
201610,0.83
201611,1.01
201612,1.31
