Briscoe County, Texas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.20
201002,1.49
201003,1.33
201004,6.31
201005,2.09
201006,3.21
201007,4.59
201008,1.54
201009,1.32
201010,2.41
201011,0.66
201012,0.05
201101,0.01
201102,0.44
201103,0.08
201104,0.00
201105,0.40
201106,0.39
201107,1.23
201108,0.25
201109,0.79
201110,2.26
201111,0.65
201112,1.32
201201,0.05
201202,0.59
201203,1.27
201204,0.62
201205,2.07
201206,2.61
201207,1.08
201208,2.14
201209,4.02
201210,0.25
201211,0.01
201212,0.56
201301,1.02
201302,2.05
201303,0.34
201304,0.40
201305,0.54
201306,3.72
201307,2.77
201308,1.36
201309,2.44
201310,1.33
201311,0.79
201312,0.32
201401,0.00
201402,0.17
201403,0.21
201404,0.23
201405,4.10
201406,4.52
201407,3.20
201408,1.28
201409,2.42
201410,0.51
201411,1.87
201412,0.15
201501,1.01
201502,0.55
201503,0.44
201504,4.39
201505,10.40
201506,3.70
201507,4.83
201508,2.02
201509,0.77
201510,5.00
201511,1.61
201512,1.19
201601,0.24
201602,0.41
201603,0.09
201604,2.72
201605,3.63
201606,3.62
201607,2.79
201608,4.41
201609,2.70
201610,0.61
201611,1.51
201612,0.89
