Dallas County, Texas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.45
201002,3.05
201003,3.88
201004,2.05
201005,2.14
201006,2.31
201007,3.41
201008,0.86
201009,8.78
201010,1.12
201011,2.73
201012,1.67
201101,1.88
201102,1.46
201103,0.18
201104,3.50
201105,5.47
201106,2.46
201107,0.04
201108,0.58
201109,1.23
201110,3.78
201111,1.56
201112,5.03
201201,6.14
201202,2.39
201203,5.85
201204,2.56
201205,2.38
201206,2.62
201207,1.06
201208,3.48
201209,3.06
201210,1.15
201211,0.18
201212,2.21
201301,3.76
201302,1.78
201303,2.38
201304,3.23
201305,3.92
201306,2.59
201307,2.02
201308,1.17
201309,3.53
201310,4.16
201311,2.44
201312,2.55
201401,0.32
201402,0.64
201403,1.27
201404,2.12
201405,4.66
201406,3.61
201407,2.05
201408,2.09
201409,0.59
201410,3.41
201411,2.02
201412,1.59
201501,3.96
201502,3.23
201503,3.80
201504,6.37
201505,15.71
201506,4.62
201507,0.33
201508,0.40
201509,1.29
201510,11.45
201511,10.53
201512,5.10
201601,1.17
201602,2.34
201603,4.31
201604,6.97
201605,6.35
201606,3.96
201607,2.55
201608,4.23
201609,2.15
201610,2.23
201611,3.81
201612,0.80
