Albemarle County, Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.80
201002,3.14
201003,4.69
201004,1.49
201005,3.81
201006,2.12
201007,1.73
201008,3.15
201009,5.05
201010,3.22
201011,2.91
201012,2.30
201101,1.09
201102,1.51
201103,5.70
201104,4.79
201105,5.93
201106,3.74
201107,2.97
201108,4.46
201109,7.21
201110,5.24
201111,3.32
201112,4.73
201201,2.31
201202,2.10
201203,4.92
201204,1.95
201205,4.32
201206,3.09
201207,3.31
201208,5.07
201209,4.18
201210,4.11
201211,0.58
201212,2.63
201301,4.78
201302,1.62
201303,4.41
201304,2.92
201305,4.10
201306,7.92
201307,5.91
201308,6.12
201309,1.41
201310,3.36
201311,3.00
201312,5.48
201401,2.55
201402,3.97
201403,3.36
201404,5.50
201405,6.28
201406,3.55
201407,2.75
201408,3.95
201409,1.64
201410,4.27
201411,2.89
201412,3.23
201501,2.00
201502,1.98
201503,4.42
201504,4.85
201505,2.53
201506,6.64
201507,3.70
201508,1.76
201509,7.20
201510,5.70
201511,2.92
201512,4.53
201601,2.73
201602,4.61
201603,1.61
201604,2.73
201605,6.08
201606,4.08
201607,3.41
201608,2.88
201609,3.22
201610,2.05
201611,1.39
201612,2.50
