Prince George County, Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.82
201002,3.68
201003,4.20
201004,1.46
201005,5.00
201006,2.75
201007,1.78
201008,4.03
201009,8.65
201010,3.77
201011,1.11
201012,3.23
201101,1.88
201102,1.39
201103,4.17
201104,2.03
201105,3.29
201106,3.03
201107,7.27
201108,7.67
201109,9.35
201110,3.25
201111,3.86
201112,1.94
201201,1.88
201202,3.22
201203,2.22
201204,2.92
201205,3.71
201206,3.40
201207,5.06
201208,6.68
201209,4.46
201210,4.50
201211,0.31
201212,2.89
201301,6.26
201302,3.35
201303,3.85
201304,3.96
201305,3.50
201306,8.74
201307,6.81
201308,5.03
201309,1.12
201310,4.21
201311,2.87
201312,6.52
201401,2.87
201402,2.74
201403,3.50
201404,4.97
201405,3.69
201406,4.66
201407,5.06
201408,3.58
201409,4.13
201410,2.35
201411,3.66
201412,3.52
201501,3.49
201502,3.19
201503,4.15
201504,3.86
201505,1.74
201506,9.42
201507,6.25
201508,2.77
201509,4.24
201510,4.13
201511,4.32
201512,5.30
201601,2.64
201602,5.69
201603,2.02
201604,2.28
201605,8.51
201606,5.92
201607,6.19
201608,1.45
201609,8.06
201610,4.48
201611,1.12
201612,2.39
