Ozaukee County, Wisconsin, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.87
201002,0.90
201003,0.53
201004,4.29
201005,3.61
201006,5.56
201007,7.28
201008,1.99
201009,2.66
201010,1.72
201011,1.12
201012,1.63
201101,0.95
201102,1.78
201103,2.83
201104,5.71
201105,2.74
201106,3.81
201107,3.46
201108,2.36
201109,4.82
201110,1.30
201111,3.15
201112,1.76
201201,1.14
201202,0.94
201203,3.11
201204,2.61
201205,3.67
201206,1.17
201207,3.12
201208,2.85
201209,1.23
201210,4.94
201211,0.56
201212,3.55
201301,2.60
201302,2.60
201303,1.46
201304,5.80
201305,5.22
201306,4.71
201307,2.38
201308,1.41
201309,2.37
201310,2.38
201311,2.66
201312,1.15
201401,0.76
201402,1.04
201403,0.79
201404,4.69
201405,2.96
201406,7.24
201407,2.43
201408,3.17
201409,1.38
201410,2.77
201411,1.72
201412,1.03
201501,0.50
201502,0.43
201503,0.62
201504,4.49
201505,3.39
201506,2.94
201507,2.69
201508,3.77
201509,4.73
201510,1.55
201511,3.63
201512,5.20
201601,0.83
201602,0.54
201603,3.85
201604,1.68
201605,2.64
201606,3.89
201607,3.16
201608,3.64
201609,4.96
201610,3.89
201611,1.69
201612,1.89
