Crook County, Wyoming, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.49
201002,0.45
201003,0.63
201004,2.63
201005,4.46
201006,3.39
201007,1.91
201008,1.75
201009,0.88
201010,0.98
201011,1.26
201012,0.70
201101,1.38
201102,0.89
201103,1.13
201104,2.09
201105,6.56
201106,2.41
201107,1.95
201108,1.40
201109,0.75
201110,0.92
201111,0.75
201112,0.50
201201,0.70
201202,1.21
201203,0.22
201204,1.97
201205,1.81
201206,0.99
201207,2.19
201208,0.85
201209,0.02
201210,0.79
201211,0.28
201212,0.53
201301,0.57
201302,0.55
201303,0.52
201304,2.34
201305,6.00
201306,2.81
201307,2.39
201308,2.19
201309,1.96
201310,4.93
201311,0.30
201312,0.89
201401,0.61
201402,0.61
201403,1.44
201404,1.75
201405,2.50
201406,4.13
201407,1.20
201408,2.32
201409,1.86
201410,1.06
201411,0.85
201412,0.57
201501,0.46
201502,0.43
201503,0.59
201504,1.12
201505,5.70
201506,4.31
201507,1.63
201508,2.70
201509,0.47
201510,1.36
201511,0.40
201512,0.62
201601,0.41
201602,0.84
201603,1.59
201604,2.40
201605,0.81
201606,0.95
201607,1.76
201608,1.62
201609,2.27
201610,0.74
201611,0.50
201612,1.04
