Uinta County, Wyoming, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.23
201002,0.39
201003,1.36
201004,1.65
201005,1.96
201006,1.84
201007,0.70
201008,1.15
201009,0.34
201010,1.78
201011,1.00
201012,2.06
201101,0.35
201102,0.91
201103,1.46
201104,2.37
201105,3.70
201106,0.63
201107,1.46
201108,0.87
201109,0.82
201110,0.99
201111,1.20
201112,0.32
201201,0.69
201202,0.60
201203,0.47
201204,0.55
201205,0.47
201206,0.05
201207,1.36
201208,0.49
201209,0.72
201210,1.59
201211,0.68
201212,0.92
201301,0.33
201302,0.40
201303,0.58
201304,1.49
201305,0.61
201306,0.03
201307,1.30
201308,0.69
201309,2.83
201310,1.70
201311,0.42
201312,1.27
201401,0.51
201402,1.30
201403,0.88
201404,0.70
201405,1.31
201406,0.92
201407,1.38
201408,2.63
201409,2.92
201410,0.21
201411,1.01
201412,0.71
201501,0.47
201502,0.54
201503,0.55
201504,1.02
201505,3.37
201506,0.79
201507,1.60
201508,1.30
201509,0.76
201510,0.89
201511,0.98
201512,0.99
201601,0.87
201602,0.39
201603,1.34
201604,1.68
201605,3.20
201606,0.60
201607,0.15
201608,0.80
201609,1.91
201610,1.80
201611,0.56
201612,1.19
