Cleveland County, Arkansas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,38.8
201002,38.8
201003,52.2
201004,64.7
201005,73.3
201006,83.3
201007,83.2
201008,84.7
201009,77.1
201010,64.4
201011,53.4
201012,41.6
201101,40.6
201102,47.9
201103,54.7
201104,65.7
201105,69.6
201106,83.5
201107,85.0
201108,83.6
201109,71.6
201110,61.6
201111,55.2
201112,44.7
201201,46.8
201202,49.8
201203,64.2
201204,65.4
201205,74.2
201206,78.8
201207,84.1
201208,81.1
201209,74.7
201210,60.6
201211,51.3
201212,49.0
201301,44.5
201302,45.9
201303,48.9
201304,59.8
201305,68.8
201306,78.4
201307,79.0
201308,80.4
201309,77.3
201310,63.0
201311,48.8
201312,43.3
201401,37.7
201402,41.3
201403,48.7
201404,60.8
201405,69.5
201406,78.0
201407,76.5
201408,78.9
201409,74.3
201410,64.8
201411,47.0
201412,46.2
201501,40.6
201502,38.5
201503,51.3
201504,64.1
201505,71.2
201506,79.2
201507,83.1
201508,80.3
201509,76.5
201510,65.2
201511,55.8
201512,52.2
201601,41.8
201602,48.9
201603,57.3
201604,64.1
201605,68.8
201606,80.0
201607,82.7
201608,81.1
201609,77.2
201610,67.6
201611,56.9
201612,45.6
