Crittenden County, Arkansas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,36.4
201002,36.0
201003,51.3
201004,65.6
201005,73.8
201006,83.8
201007,83.4
201008,84.8
201009,76.8
201010,63.6
201011,53.1
201012,37.8
201101,38.2
201102,45.7
201103,52.8
201104,65.3
201105,68.7
201106,83.2
201107,84.9
201108,82.2
201109,71.3
201110,61.0
201111,54.8
201112,44.4
201201,46.0
201202,47.9
201203,63.4
201204,64.4
201205,74.8
201206,78.6
201207,84.2
201208,81.0
201209,74.5
201210,60.0
201211,49.5
201212,48.1
201301,43.2
201302,44.0
201303,46.2
201304,59.5
201305,68.8
201306,79.1
201307,78.8
201308,79.1
201309,76.5
201310,62.9
201311,47.7
201312,41.5
201401,34.3
201402,38.9
201403,46.0
201404,61.4
201405,70.3
201406,78.7
201407,76.7
201408,80.6
201409,74.2
201410,65.1
201411,45.3
201412,44.2
201501,39.1
201502,34.9
201503,49.9
201504,64.3
201505,71.5
201506,79.8
201507,83.0
201508,78.2
201509,75.2
201510,64.0
201511,55.8
201512,52.3
201601,39.1
201602,46.4
201603,56.6
201604,63.6
201605,69.1
201606,81.0
201607,83.1
201608,81.8
201609,77.7
201610,69.0
201611,56.9
201612,42.8
