Sevier County, Arkansas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,39.0
201002,39.1
201003,50.8
201004,63.3
201005,71.9
201006,81.6
201007,82.3
201008,85.6
201009,76.4
201010,63.0
201011,52.5
201012,42.5
201101,39.1
201102,44.8
201103,55.2
201104,64.1
201105,68.0
201106,82.4
201107,86.5
201108,87.4
201109,73.1
201110,62.6
201111,53.9
201112,45.0
201201,46.6
201202,48.2
201203,62.1
201204,65.4
201205,73.7
201206,79.8
201207,83.5
201208,81.6
201209,75.6
201210,61.0
201211,52.7
201212,47.5
201301,44.2
201302,45.6
201303,49.4
201304,60.0
201305,67.9
201306,77.8
201307,78.8
201308,80.6
201309,77.4
201310,63.1
201311,48.7
201312,41.7
201401,37.5
201402,42.0
201403,49.3
201404,60.4
201405,68.1
201406,77.3
201407,76.4
201408,78.3
201409,74.2
201410,64.9
201411,46.0
201412,45.7
201501,40.8
201502,40.2
201503,51.9
201504,63.2
201505,69.6
201506,78.4
201507,82.4
201508,80.8
201509,76.8
201510,65.7
201511,55.7
201512,50.6
201601,43.0
201602,50.5
201603,58.1
201604,64.2
201605,68.0
201606,79.3
201607,83.2
201608,80.8
201609,76.8
201610,68.6
201611,57.9
201612,45.6
