Kern County, California, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,46.8
201002,49.0
201003,51.8
201004,53.9
201005,60.7
201006,74.1
201007,81.0
201008,77.5
201009,74.2
201010,63.7
201011,50.9
201012,48.2
201101,45.9
201102,45.8
201103,51.7
201104,57.2
201105,61.5
201106,71.7
201107,79.4
201108,79.9
201109,76.2
201110,64.8
201111,50.7
201112,43.7
201201,48.9
201202,49.3
201203,52.4
201204,59.3
201205,68.4
201206,74.2
201207,79.2
201208,83.4
201209,77.5
201210,65.0
201211,55.4
201212,45.9
201301,44.0
201302,48.0
201303,57.3
201304,62.3
201305,67.7
201306,77.0
201307,83.2
201308,78.8
201309,73.5
201310,61.9
201311,54.5
201312,46.4
201401,52.2
201402,53.1
201403,57.0
201404,61.3
201405,68.5
201406,76.7
201407,82.5
201408,79.3
201409,76.2
201410,68.0
201411,56.2
201412,48.8
201501,49.4
201502,56.0
201503,59.9
201504,60.2
201505,64.3
201506,78.6
201507,78.4
201508,80.6
201509,76.3
201510,67.8
201511,49.6
201512,44.2
201601,47.0
201602,53.5
201603,55.8
201604,60.9
201605,66.2
201606,78.9
201607,81.8
201608,80.6
201609,73.0
201610,64.0
201611,55.4
201612,46.2
